t,equity
206,100966.37923490451
207,100838.48763490723
208,100871.07598742793
209,101025.09621667952
210,100801.69836878114
211,100614.93815209379
212,100329.3199489609
213,100203.89035736815
214,99979.77034062122
215,99719.37045175517
216,99508.92582963649
217,99286.71218761678
218,99034.30450912418
219,99272.10027951378
220,99235.26342203307
221,99256.06681189555
222,99538.57571390823
223,99624.93650082362
224,99555.60707523122
225,99403.71049738456
226,99616.72971743379
227,99519.66657457805
228,99444.74785556497
229,99512.36759070137
230,99607.45220643915
231,99541.03200460908
232,99560.38944469875
233,99264.9689347208
234,99310.23639565638
235,99559.12396023581
236,99700.37572789472
237,99981.50696626288
238,100028.95361820601
239,99771.1963598396
240,99690.21889184724
241,99655.32923274644
242,99565.27797450259
243,99382.67058336828
244,99104.60288175628
245,98821.65747362557
246,99057.10856066298
247,99134.26700658926
248,98980.81688793784
249,98889.08501620391
250,98680.27088415732
251,98887.61531959535
252,98734.67862275917
253,98762.21895668849
254,99001.24697796149
255,98846.6634496217
256,98803.15859143772
257,98538.89725945516
258,98574.38748550684
259,98318.45017623845
260,98590.41797119394
261,98410.77145237767
262,98339.74725693706
263,98627.00070710757
264,98440.43419411388
265,98613.80185286414
266,98334.04134521633
267,98517.96085901493
268,98690.61717883233
269,98760.69733898655
270,98878.49500753565
271,98974.9514517839
272,98919.6597115361
273,99197.01291483434
274,99303.03967377797
275,99290.90972291364
276,99273.34486864464
277,99385.89425536293
278,99438.71909726142
279,99462.38352116165
280,99363.60017905406
281,99079.76977098882
282,99070.22121030648
283,99233.9770103319
284,99433.78420036123
285,99726.19692591926
286,99583.10205741397
287,99484.49946475323
288,99417.1848768582
289,99251.58268277349
290,99038.7469469375
291,99331.55974850914
292,99390.6159938123
293,99136.8949863184
294,98890.92333718557
295,98917.36029294094
296,99020.83116336653
297,99148.86535309296
298,99324.30771961572
299,99293.48007096219
300,99114.7306797227
301,98834.83865819717
302,98987.9208574696
303,99087.67496466658
304,98984.07856039645
305,98800.16630379866
306,98760.32836344688
307,98688.31888160158
308,98721.20798191414
309,98808.05950729146
310,98743.32842571178
311,98873.35682579568
312,98929.23015630484
313,99045.72359374986
314,99149.44769163405
315,98892.97748016757
316,99042.09214220705
317,99333.62296921968
318,99388.45401187423
319,99326.31412817817
320,99267.46599811164
321,98993.06845859523
322,98746.45597424232
323,98713.49094089476
324,98865.6118657772
325,98806.57997779039
326,98867.14818802787
327,98602.87566515928
328,98446.19930111633
329,98368.08220249844
330,98615.913934697
331,98556.52860720745
332,98702.7183296709
333,98722.21916998035
334,98496.5086717172
335,98206.6948689431
336,98484.89721934656
337,98472.77692484384
338,98612.63543241647
339,98677.80068353456
340,98490.41108081356
341,98540.91501223332
342,98440.74117263193
343,98210.52299080728
344,98012.70131847929
345,98143.37784130743
346,98203.80507360783
347,98066.27021502264
348,97931.10161774045
349,98145.58092686557
350,98141.75446236339
351,97955.42705734597
352,98225.58261041774
353,98297.54717274869
354,98273.61254172944
355,98394.44882020504
356,98422.07685938165
357,98225.09072502321
358,98050.27296989043
359,97921.00620539686
360,97780.5151035934
361,97921.59498805423
362,98138.50509234534
363,98184.71711892479
364,98424.28473643606
365,98666.88255010206
366,98423.30678065089
367,98445.25654595518
368,98365.23426068542
369,98185.55708965688
370,98037.29885211264
371,97807.85618486245
372,97799.8165990833
373,97723.36058162039
374,97833.1045753642
375,97934.09992504375
376,97977.95907702789
377,97828.9359806662
378,97920.68575698421
379,98050.97026838834
380,98164.69675486212
381,97877.20858582552
382,97977.86988654264
383,97772.4206741502
384,97942.16629776065
385,98177.29365895812
386,98235.51553870438
387,98490.5098177236
388,98539.63940781173
389,98390.58147455851
390,98501.80854847301
391,98504.57027083519
392,98345.58798189949
393,98417.75040425379
394,98500.52717931976
395,98371.41912627639
396,98173.20442051807
397,98383.17992837964
398,98636.02903914097
399,98435.70683274264
400,98190.11954170522
401,98077.64735212248
402,97887.42774481152
403,98007.95056772379
404,98219.40408479632
405,98489.71178984408
406,98345.23337987745
407,98182.6903245853
408,97990.11593451479
409,97875.66918634876
410,97660.36526801891
411,97749.23724697453
412,98030.82736210173
413,98062.77404699466
414,98290.40954343531
415,98192.89239119261
416,97934.2211660836
417,97996.27183439223
418,97931.0730074229
419,97675.32877547239
420,97912.35599968547
421,97718.46596616751
422,97576.11296635047
423,97555.55217224272
424,97503.42167224504
425,97558.66275740566
426,97780.28633726476
427,97898.02523513538
428,97787.40996068472
429,97660.71064788406
430,97780.15023739803
431,97961.95931798118
432,97946.58821279225
433,98151.4946567244
434,98218.99056966827
435,97985.42311768363
436,98181.68912493077
437,97979.8945720718
438,98090.09954834956
439,97805.30838662409
440,97584.71907171526
441,97604.78614533694
442,97766.1590428691
443,97661.11606055369
444,97681.28043448503
445,97428.88058519067
446,97161.84814850945
447,97303.0254108629
448,97288.23764760682
449,97298.46882647085
450,97371.54298456197
451,97198.53869552146
452,97115.46146554312
453,97261.73300640017
454,97210.57492958927
455,97334.80392698872
456,97205.02258148445
457,97239.29902784586
458,97055.03864853164
459,97104.03882597062
460,97010.85073568972
461,96938.86135024844
462,96869.9072223272
463,96995.47527210662
464,96725.07319537594
465,96974.43237892353
466,96941.47978762566
467,96707.75494179335
468,96980.83502694716
469,96866.12817049424
470,96858.54013464585
471,96580.75563929052
472,96354.94969707707
473,96185.3152953231
474,95905.10419117942
475,96025.8503519661
476,95761.33560599925
477,95671.71874949557
478,95447.47146919281
479,95325.54964173057
480,95436.7570162755
481,95402.43201501062
482,95518.03100091
483,95687.9896737131
484,95932.91396604208
485,96128.56619893544
486,95864.13537103096
487,95975.48245890392
488,95993.04452326469
489,95774.18518268023
490,95897.31586811302
491,95696.50585534335
492,95974.57136996492
493,96086.03938373756
494,95867.8269423212
495,95978.55650522152
496,96078.20343226772
497,96127.00387039201
498,95954.75969198614
499,95721.05799361588
500,95834.27055344703
501,95611.05712134
502,95852.20510538066
503,95788.02076663396
504,95591.54847921953
505,95762.42326135443
506,95585.66219333014
507,95362.38622917638
508,95528.43223698661
509,95359.7623196115
510,95543.03777690114
511,95539.81544583259
512,95434.57590713447
513,95184.35904018703
514,94997.01634310107
515,94786.22051463673
516,94615.0785667887
517,94862.42078228481
518,94697.09701733956
519,94920.45211119125
520,94803.76455970103
521,94856.00343503506
522,94621.76595161381
523,94762.98613397764
524,94796.77530268724
525,94578.2018006706
526,94526.15421463177
527,94735.00148810096
528,94692.21768719562
529,94766.39322829842
530,94520.31063818619
531,94567.72506151233
532,94733.91302495565
533,94765.28435197975
534,94901.24892196704
535,94882.4431238871
536,95066.86403454118
537,95266.15427304772
538,95307.81863750856
539,95421.60785626523
540,95425.64531553848
541,95226.58207908877
542,94990.02002915193
543,95110.91930065304
544,95170.32638674339
545,94988.80800428723
546,94906.41869028873
547,94826.09690713328
548,94619.4901244046
549,94502.73264516932
550,94682.6529681727
551,94933.46400228124
552,95000.24927306498
553,95002.25648425757
554,95156.57402790639
555,95228.42692371258
556,94995.21032666852
557,94724.54531078495
558,94962.54014895542
559,94805.73966954545
560,94640.80386264452
561,94369.52025266213
562,94543.84082104568
563,94484.23023875305
564,94302.24637020718
565,94374.0273470193
566,94463.67161234492
567,94492.31368330443
568,94388.3040574884
569,94555.5452833234
570,94463.2177171978
571,94260.68732715987
572,94109.33286179198
573,94241.41040459496
574,94142.17641672255
575,94203.29525435236
576,94278.95894702605
577,94325.55986027377
578,94382.84425094759
579,94201.98611147807
580,94323.6214874799
581,94470.62230130131
582,94262.57077659074
583,94080.26593876173
584,94121.72496174293
585,94355.59513932778
586,94189.33355546954
587,94153.92409188733
588,94165.94100255924
589,94031.04763211655
590,94088.16456641763
591,94319.70303810615
592,94167.06470035763
593,94155.37823218346
594,93872.94667037757
595,94084.02771318288
596,94138.37240395408
597,93906.89135318906
598,93879.13981899549
599,93684.69361306094
600,93463.3044172677
601,93558.79534770663
602,93545.68441744678
603,93648.52489664142
604,93391.22682799955
605,93201.48900478809
606,93250.3857271284
607,93044.57809150073
608,92873.97961431067
609,93082.3632366379
610,93189.93735240406
611,92918.29360622738
612,93100.00342708219
613,92837.24543361439
614,92925.53223254441
615,92858.87939874001
616,92797.0430657856
617,92637.1992316098
618,92800.8747149523
619,92725.9416517882
620,92749.70852540359
621,92666.13527787648
622,92416.01417867166
623,92336.09208260891
624,92380.09807806472
625,92269.58058143558
626,92164.5648682578
627,91905.15833598695
628,91923.16916281341
629,92136.4623307332
630,92257.02104853641
631,92133.00039399555
632,91995.0905974473
633,92047.35430748943
634,91778.04557455175
635,91644.04189939411
636,91481.50320116935
637,91210.90988401869
638,90974.40022799709
639,91056.51724703852
640,91264.2564692287
641,91299.27433160195
642,91456.61217381994
643,91476.1529651602
644,91622.22669294386
645,91572.994458424
646,91751.52769060683
647,91735.81352595384
648,91622.00784291637
649,91531.65728879474
650,91495.72463173547
651,91467.75779543867
652,91665.32961208781
653,91850.4962251708
654,92011.52711245247
655,91755.90287772681
656,91694.11506943175
657,91828.43204443819
658,92075.842063408
659,92176.33302142963
660,92010.05559043097
661,91946.01321227953
662,92077.17727691469
663,91958.35259974391
664,92147.85805015714
665,92347.82826822327
666,92481.62495289456
667,92253.35576367818
668,92245.6109390055
669,92264.47789767665
670,92005.27696636094
671,92129.74666258246
672,92212.06596133627
673,92034.24919194327
674,91829.1615956523
675,91610.63947935111
676,91642.37669265966
677,91642.58106568093
678,91863.22942652232
679,91832.05451771342
680,91842.33944993469
681,91945.75594160237
682,91735.78119096419
683,91958.65454750373
684,91888.50036361282
685,91934.67136162917
686,91806.04801659513
687,91961.61740587227
688,91923.3981796155
689,91984.21041362367
690,91937.50522201197
691,92162.95094714776
692,92206.1998947932
693,92321.97036679767
694,92053.95563834679
695,92090.1021755723
696,91920.25810966281
697,91742.77471210835
698,91933.39663889587
699,91905.10010288595
700,91646.70484656608
701,91423.82790474378
702,91351.93128296289
703,91095.48416078665
704,91124.64750759669
705,91315.00341980501
706,91478.83631866369
707,91213.10310504319
708,91408.55869781338
709,91501.38995496629
710,91741.0309338217
711,91983.28016428922
712,92106.43930913309
713,92239.31245040307
714,92225.98306424491
715,92230.10178828708
716,92247.09341950368
717,92081.47839907768
718,92037.3684025098
719,92000.68101456184
720,92139.33598450467
721,92405.46005671442
722,92395.93777502821
723,92299.23387099561
724,92481.9805165129
725,92630.5998800904
726,92780.49895928631
727,92762.3842545806
728,92877.01779432742
729,92861.07541611935
730,93014.22783884965
731,92816.69277827955
732,92597.1736562642
733,92325.03084935264
734,92462.99939998203
735,92386.40357454393
736,92155.92566377435
737,91990.77367502115
738,91960.53994653298
739,91769.02120641377
740,91913.67592712489
741,91638.43804869452
742,91555.6119185838
743,91735.5880003514
744,91846.84870385904
745,91675.51165399136
746,91884.80997491155
747,91738.52958641418
748,91797.4143999341
749,91862.4068563837
750,91959.91487994557
751,91799.1365299848
752,91585.22710921851
753,91679.39973999576
754,91942.03298341463
755,92080.3913353511
756,91856.40275031223
757,91815.59615226423
758,92024.43019777496
759,91835.17728920406
760,91765.86137978769
761,91520.06249516123
762,91457.90227970867
763,91401.9561192396
764,91376.07821413699
765,91274.98527534374
766,91161.23283069709
767,90907.227312168
768,90848.63059503034
769,90852.10580669132
770,90586.48443137835
771,90624.26511676147
772,90852.4288395169
773,90652.01335716451
774,90400.46139012527
775,90264.19820549767
776,90384.1368733663
777,90357.29787737275
778,90258.66424965423
779,89994.19549851354
780,89823.44666388498
781,90081.68768765872
782,90104.87444708735
783,90308.97808355796
784,90534.23128682139
785,90676.07800663264
786,90447.5223533079
787,90278.87241604959
788,90469.72064676505
789,90241.77170435143
790,90480.28933178468
791,90519.38189220053
792,90752.56484816804
793,90901.8735432823
794,90857.22737907196
795,90875.14539678706
